"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,-1,0.963875205254516,-0.00175236700362547,-0.0337077782466287,0.00444855414963245,-0.00104962591842752,-0.954500408184312,"EB"
"2",2,30000,0.3,0.01,-1,0.960330578512397,-0.00157505426014079,-0.0332817474721162,0.00108098246556382,-0.0027504128284883,-0.969648105518066,"EB"
"3",3,30000,0.3,0.01,-1,0.951585976627713,-0.00160890620533962,-0.0334642744307258,0.000702589352141301,-0.0020371849006792,-0.967880259688504,"EB"
"4",4,30000,0.3,0.01,-1,0.968,-0.00182341869245249,-0.035981284956997,0.00260112305592448,-0.00170724129325217,-0.971242270065103,"EB"
"5",5,30000,0.3,0.01,-1,0.952879581151832,-0.00177136882891169,-0.0351500295476346,-0.000150772788131855,-0.00205209086257784,-0.968242881695057,"EB"
"6",6,30000,0.3,0.01,-1,0.959546925566343,-0.00208544314869553,-0.0385258299678793,0.00161768455104702,-0.00260428033514799,-0.971634929150965,"EB"
"7",7,30000,0.3,0.01,-1,0.97098976109215,-0.00186000876616563,-0.0365777392277479,0.000866300165404756,-0.00277497048776011,-0.973347998813522,"EB"
"8",8,30000,0.3,0.01,-1,0.957095709570957,-0.00197080923183035,-0.0370370425054246,0.000674017134453257,-0.00384122056750802,-0.967878627041861,"EB"
"9",9,30000,0.3,0.01,-1,0.954081632653061,-0.00189683441752923,-0.0370154915108425,0.000715792275172716,-0.000478373700094404,-0.974009579771181,"EB"
"10",10,30000,0.3,0.01,-1,0.946902654867257,-0.00178936327788227,-0.0359510268642521,-0.000684313218105732,-0.00112505176266396,-0.974004683601164,"EB"
"11",11,30000,0.3,0.01,-1,0.957746478873239,-0.00173404859513025,-0.0347940928106253,0.000817268509991132,-0.00370816659058197,-0.968404541899038,"EB"
"12",12,30000,0.3,0.01,-1,0.950680272108844,-0.00187985672385593,-0.0362830823171737,0.00185464085008295,-0.000347364563416255,-0.968931142719256,"EB"
"13",13,30000,0.3,0.01,-1,0.976744186046512,-0.00182538058171385,-0.0353478485790414,0.00324807325401538,-0.00296311103813341,-0.964919855916747,"EB"
"14",14,30000,0.3,0.01,-1,0.942567567567568,-0.00174025218176532,-0.0349961065160561,0.00137166152602904,-0.00165457708259747,-0.969768789363806,"EB"
"15",15,30000,0.3,0.01,-1,0.957166392092257,-0.00186380583840615,-0.0364902255251624,0.00092920754545186,-0.00288464814392383,-0.972252235586588,"EB"
"16",16,30000,0.3,0.01,-1,0.969502407704655,-0.00192815938351785,-0.0371841866807426,0.000839236571277554,-0.00414963056354558,-0.972853701814532,"EB"
"17",17,30000,0.3,0.01,-1,0.959501557632399,-0.00174356856506093,-0.0350919317534157,0.00127899876015081,-0.00353384249766702,-0.970367093185374,"EB"
"18",18,30000,0.3,0.01,-1,0.970443349753695,-0.00195118898771219,-0.0376146328252581,0.00159699289901652,-0.00303655788726772,-0.974612464407138,"EB"
"19",19,30000,0.3,0.01,-1,0.955298013245033,-0.00189260242819165,-0.0366716864206131,0.00213570004183981,-0.000412488999533213,-0.971369350621949,"EB"
"20",20,30000,0.3,0.01,-1,0.959481361426256,-0.00169637151413044,-0.0343321523000199,0.00193175965581046,-0.000759977972563286,-0.967579642277963,"EB"
"21",21,30000,0.3,0.01,-1,0.969491525423729,-0.00186825928261046,-0.0357070748881672,0.00231120611660106,-0.00172321067082154,-0.964376463616294,"EB"
"22",22,30000,0.3,0.01,-1,0.96523178807947,-0.00185520419308127,-0.0362172962393739,0.00233252386171833,-0.000218793727098699,-0.970545618815924,"EB"
"23",23,30000,0.3,0.01,-1,0.961666666666667,-0.00188457846049992,-0.0358255595070065,0.000110961538590723,-0.00372769067787523,-0.963998481316334,"EB"
"24",24,30000,0.3,0.01,-1,0.943089430894309,-0.00182355642857132,-0.0351663122139817,0.00187350506674556,-0.00101020440827716,-0.963220834879509,"EB"
"25",25,30000,0.3,0.01,-1,0.976340694006309,-0.00201035515776062,-0.0377184027569521,0.00143316265036258,-0.0042513080015715,-0.970696345389189,"EB"
"26",26,30000,0.3,0.01,-1,0.953150242326333,-0.0016407702952624,-0.0331502958452684,0.00235979488496003,-0.000910353865660857,-0.960887711809722,"EB"
"27",27,30000,0.3,0.01,-1,0.961730449251248,-0.00183128994321886,-0.0353262488330188,0.00328388930944662,-0.00220935992199351,-0.964110513299116,"EB"
"28",28,30000,0.3,0.01,-1,0.948675496688742,-0.00180557125073104,-0.0357453437103297,0.000809091517565619,-0.00244469547110344,-0.970692720030748,"EB"
"29",29,30000,0.3,0.01,-1,0.952782462057336,-0.00193936946005625,-0.0370673674213563,0.000877982537904835,-0.00230598477116861,-0.970883213965968,"EB"
"30",30,30000,0.3,0.01,-1,0.971807628524046,-0.00186387325534436,-0.0354705348456801,0.00362114667983339,-2.55345998427327e-05,-0.96235900557568,"EB"
"31",31,30000,0.3,0.01,-1,0.954849498327759,-0.0018217476218373,-0.0362039784379537,0.00105162909146113,-0.00244967527059794,-0.973386643928294,"EB"
"32",32,30000,0.3,0.01,-1,0.9609375,-0.00202290127398751,-0.0377005440061352,0.00117977158474125,-0.00469252630451839,-0.969493819140374,"EB"
"33",33,30000,0.3,0.01,-1,0.96545768566494,-0.00179373894039577,-0.0356212072336393,-0.000319498045245044,-0.00376040900431223,-0.970629058323838,"EB"
"34",34,30000,0.3,0.01,-1,0.951890034364261,-0.00180128759327526,-0.0357963016618221,-0.00114273086640014,-0.00154475099904768,-0.971554847016794,"EB"
"35",35,30000,0.3,0.01,-1,0.947115384615385,-0.00192466241983425,-0.0367002793196177,0.00085693509702051,-0.00338042625588993,-0.968813288597178,"EB"
"36",36,30000,0.3,0.01,-1,0.96474358974359,-0.00182988113854338,-0.0355349439246393,0.00146002383581276,-0.00262560117077618,-0.966368756468811,"EB"
"37",37,30000,0.3,0.01,-1,0.956081081081081,-0.00190026219592988,-0.0366517965669004,0.000841836000393125,-0.00203445683517249,-0.970521325741839,"EB"
"38",38,30000,0.3,0.01,-1,0.96411856474259,-0.00198233953474157,-0.036971233990651,0.00326103806696102,-0.00209118892745227,-0.966230478762124,"EB"
"39",39,30000,0.3,0.01,-1,0.962900505902192,-0.00194404566159296,-0.0372718488935436,0.0016952454178397,-0.00256712611407667,-0.972290627574777,"EB"
"40",40,30000,0.3,0.01,-1,0.967032967032967,-0.00183464128800421,-0.03535510315861,0.00379625287303829,-0.00135746804994579,-0.964074807079964,"EB"
"41",41,30000,0.3,0.01,-1,0.966205837173579,-0.00184491490336845,-0.036142538544981,0.00148110745452538,-0.00289525461567587,-0.970783202249457,"EB"
"42",42,30000,0.3,0.01,-1,0.949152542372881,-0.0017639147365015,-0.0348487954629282,0.00167765608210318,-0.00327071507172504,-0.965963465378616,"EB"
"43",43,30000,0.3,0.01,-1,0.951585976627713,-0.00170081511981813,-0.0344654293830096,0.0023643498913,-0.000427746196629934,-0.968468130110655,"EB"
"44",44,30000,0.3,0.01,-1,0.957654723127036,-0.0018988321808412,-0.0365591622486549,0.0010254647812539,-0.00277659862308631,-0.969799304342895,"EB"
"45",45,30000,0.3,0.01,-1,0.95578231292517,-0.00170355050039812,-0.0345379101794779,0.000593249318474846,-6.03238479956702e-05,-0.968912854345405,"EB"
"46",46,30000,0.3,0.01,-1,0.971337579617834,-0.0018665172076885,-0.0361117147066456,0.00370980616424015,-0.00109023732231433,-0.968529061803481,"EB"
"47",47,30000,0.3,0.01,-1,0.948717948717949,-0.00186306677804788,-0.0362766784199408,0.000278029844104988,-0.00235790874216692,-0.970386739537947,"EB"
"48",48,30000,0.3,0.01,-1,0.953767123287671,-0.00180147129363136,-0.0356247447024411,6.37425630479264e-05,-0.00259562626160833,-0.969942840416429,"EB"
"49",49,30000,0.3,0.01,-1,0.9792663476874,-0.00178958881917321,-0.0356113235588598,0.00211838752823562,-0.00254663800923162,-0.970921363719792,"EB"
"50",50,30000,0.3,0.01,-1,0.956591639871383,-0.00206448968146614,-0.0383213492182643,0.000572725890952464,-0.0031027452214065,-0.971545642152117,"EB"
"51",51,30000,0.3,0.01,-1,0.970779220779221,-0.00188826126371227,-0.0364410143779543,0.00261564365528846,-0.00186640346356205,-0.969648925768715,"EB"
"52",52,30000,0.3,0.01,-1,0.962418300653595,-0.0019769905966583,-0.0364975812957868,0.00365457811944535,-0.00215501457292544,-0.96201627813976,"EB"
"53",53,30000,0.3,0.01,-1,0.961474036850921,-0.00190206256001302,-0.0372982048753193,0.00154167216379758,-0.000196379470455291,-0.975931907126975,"EB"
"54",54,30000,0.3,0.01,-1,0.962393162393162,-0.00178465452007376,-0.0354946004188441,0.000756992566066435,-0.00233669247813718,-0.970288158977618,"EB"
"55",55,30000,0.3,0.01,-1,0.970099667774086,-0.00189411636543216,-0.0366006996323012,0.00174206115308102,-0.00312622637687777,-0.970596142465655,"EB"
"56",56,30000,0.3,0.01,-1,0.956747404844291,-0.00178255536533665,-0.0360022869327253,0.000781379504754667,-0.00110048099729169,-0.975040830391881,"EB"
"57",57,30000,0.3,0.01,-1,0.96411856474259,-0.00180967112648865,-0.0353832116946287,0.00197690599546326,-0.00234608596029364,-0.966818852361738,"EB"
"58",58,30000,0.3,0.01,-1,0.963025210084034,-0.00196990108143901,-0.037494073264778,0.00120452874194986,-0.000398573096411812,-0.972076107266057,"EB"
"59",59,30000,0.3,0.01,-1,0.961082910321489,-0.00170353510709611,-0.034585204870007,0.000108498084108568,-0.00201103445701833,-0.969380286798295,"EB"
"60",60,30000,0.3,0.01,-1,0.961904761904762,-0.00188582606893975,-0.0364326431024331,0.00126716342514557,-0.00292311053058097,-0.969789150410938,"EB"
"61",61,30000,0.3,0.01,-1,0.969335604770017,-0.00200017116071216,-0.0379378912219013,0.00217276523458262,-0.000575658380206372,-0.97340668786416,"EB"
"62",62,30000,0.3,0.01,-1,0.960443037974684,-0.00191877933215497,-0.0370840496806485,0.00154916967024955,-0.00273587339341001,-0.972770833331354,"EB"
"63",63,30000,0.3,0.01,-1,0.978998384491115,-0.00188628607197252,-0.0360527445186266,0.00440493798614647,-0.00304631256528214,-0.966115606364544,"EB"
"64",64,30000,0.3,0.01,-1,0.966453674121406,-0.00188585869858328,-0.0363426446038414,0.00245638855779038,-0.0013216587371327,-0.968946991589149,"EB"
"65",65,30000,0.3,0.01,-1,0.957118353344768,-0.00178320632334154,-0.0357078605047003,0.000221646184481434,-0.00196765031827137,-0.972391404828311,"EB"
"66",66,30000,0.3,0.01,-1,0.963576158940397,-0.00164222562849091,-0.0326690550032456,0.00483658816793277,0.000611139651536648,-0.954970517002124,"EB"
"67",67,30000,0.3,0.01,-1,0.974832214765101,-0.00181471160007244,-0.0358404133869446,0.00329833733883818,-0.00192611649065373,-0.970736356327668,"EB"
"68",68,30000,0.3,0.01,-1,0.968921389396709,-0.00174430216679023,-0.0351242635074064,0.00174030984371764,9.25011442333375e-05,-0.970604042270227,"EB"
"69",69,30000,0.3,0.01,-1,0.932307692307692,-0.00184574487856494,-0.0353500969656998,0.00069861165068936,-0.00412337158232051,-0.962911904211086,"EB"
"70",70,30000,0.3,0.01,-1,0.96661101836394,-0.00213076909099114,-0.039307305085513,0.0006671719147677,-0.00306124006390196,-0.974610974546551,"EB"
"71",71,30000,0.3,0.01,-1,0.966237942122186,-0.00195576505471567,-0.0361551877437599,0.00457607024234938,-0.000827325305629962,-0.960491904395748,"EB"
"72",72,30000,0.3,0.01,-1,0.954237288135593,-0.00162196992437821,-0.033499099237052,-0.000430602143039417,-0.00326419090062655,-0.966830456200823,"EB"
"73",73,30000,0.3,0.01,-1,0.975609756097561,-0.00180748509915667,-0.0352704851033156,0.00307430023900464,-1.16725387862998e-05,-0.965901964073197,"EB"
