"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,0,16709.06,0.99524680826529,0.840285185712328,0.000842885681942033,598.230164482676,0.0019011787667116,0.00979742502669751,1.57229244006667e-05
"101",3e+05,0.3,0.01,0,114019.5,0.769924937225986,0.221578615454755,2.57729012115878e-05,1685.7277030674,0.00679997248289897,0.00623438915000216,6.32980347126474e-07
"201",30000,0.8,0.01,0,36120.17,0.937816725337799,0.516916680106786,0.000509914544925346,829.110939866349,0.00501984070325687,0.0111203632368987,1.03449635655716e-05
"301",3e+05,0.8,0.01,0,212292.74,0.669768204349022,0.139193964765778,1.98795873142052e-05,2031.78106481814,0.00605522604089234,0.00384558862236385,3.58184691082237e-07
"401",30000,0.3,0.001,0,19750.54,0.887326330365736,0.551154327316792,0.000649841393598048,580.84921146942,0.0105359630245564,0.0125563193473762,1.65760188719015e-05
"501",3e+05,0.3,0.001,0,54428.27,0.66248445597113,0.225258555887841,3.19610264253651e-05,1005.44554529097,0.0124430612559951,0.00781912896118252,9.29099788781136e-07
"601",30000,0.8,0.001,0,32653.58,0.773963460105487,0.355887619301116,0.000445243295954087,765.430969645813,0.0110424686484689,0.0103554536471925,1.2056931180411e-05
"701",3e+05,0.8,0.001,0,69353.88,0.612273090518617,0.181355255304562,2.80938630219202e-05,1149.13157618871,0.0124972603605473,0.00692503879846327,8.14915224246419e-07
