"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"21",21,30000,0.3,0.01,-1,1,-0.0241850398529818,-0.143195481401492,0.00676100457285405,-0.00716251516827134,-0.993218943203869,"EB"
"22",22,30000,0.3,0.01,-1,1,-0.0237172597461618,-0.146031060140265,0.0056339869840967,-0.00111382920891606,-0.997179348983129,"EB"
"23",23,30000,0.3,0.01,-1,1,-0.0246072731529902,-0.141436254173859,0.00561569475955009,-0.00774200362610902,-0.989353675212243,"EB"
"24",24,30000,0.3,0.01,-1,1,-0.0236029905598277,-0.140287762618963,0.0121938894848792,-0.00192514177535577,-0.991788140643443,"EB"
"25",25,30000,0.3,0.01,-1,1,-0.0255033453652697,-0.144615101818803,0.00244318559755369,-0.0118617596421795,-0.990222245898236,"EB"
"26",26,30000,0.3,0.01,-1,1,-0.0218914586477696,-0.137269881840763,0.00850206020561182,-0.00455114208106163,-0.994399452920952,"EB"
"27",27,30000,0.3,0.01,-1,1,-0.0236388144900935,-0.140860987178619,0.00615156093774332,-0.008220599990826,-0.992374141229978,"EB"
"28",28,30000,0.3,0.01,-1,1,-0.023499533197805,-0.140531663163827,0.0100174010662669,-0.00880911177728168,-0.99248020631021,"EB"
"29",29,30000,0.3,0.01,-1,1,-0.0252636807165765,-0.147126434378842,0.00748289051676209,-0.00620358049561617,-0.994053150124747,"EB"
"30",30,30000,0.3,0.01,-1,1,-0.0240946722353398,-0.138966150128677,0.00949557971808172,-0.00756812372119113,-0.987857426580879,"EB"
"31",31,30000,0.3,0.01,-1,1,-0.0237941565928351,-0.142983702919732,0.00295985316664276,-0.00786400733029736,-0.994266213270758,"EB"
"32",32,30000,0.3,0.01,-1,1,-0.0256454529297516,-0.145415464895258,0.00717937153715334,-0.0135671225271172,-0.990751765110846,"EB"
"33",33,30000,0.3,0.01,-1,1,-0.0234052750841038,-0.140604439681404,0.00105582060598171,-0.00877077925276574,-0.992909028211743,"EB"
"34",34,30000,0.3,0.01,-1,1,-0.0232389311019507,-0.143737931275965,0.00192041970707575,-0.00165331891875665,-0.996550468233283,"EB"
"35",35,30000,0.3,0.01,-1,1,-0.0248436136710564,-0.144745618433721,0.00493151952949109,-0.0105511815569519,-0.992775918895052,"EB"
"36",36,30000,0.3,0.01,-1,0.99812734082397,-0.0234057571247532,-0.138765858905068,0.00564932136405882,-0.0106735338379618,-0.990538146027437,"EB"
