"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"1",1,30000,0.3,0.01,0,16425,0.996407914764079,0.840608828006088,0.000848938412008176
"2",2,30000,0.3,0.01,0,16768,0.994513358778626,0.846314408396947,0.000847993850511844
"3",3,30000,0.3,0.01,0,16690,0.995686039544638,0.850509286998202,0.000848695544482847
"4",4,30000,0.3,0.01,0,16072,0.992844698855152,0.833561473369836,0.000831222471479891
"5",5,30000,0.3,0.01,0,16878,0.996385827704704,0.829719161038038,0.000812340583704255
"6",6,30000,0.3,0.01,0,16499,0.991150978847203,0.830353354748773,0.000860563560547419
"7",7,30000,0.3,0.01,0,16450,0.997325227963526,0.846565349544073,0.000872677854505157
"8",8,30000,0.3,0.01,0,16026,0.997067265693248,0.837826032696868,0.000841201352098954
"9",9,30000,0.3,0.01,0,17177,0.995167957152006,0.841474064155557,0.000863755979198818
"10",10,30000,0.3,0.01,0,17463,0.994731718490523,0.839145622172593,0.000855023718696422
"11",11,30000,0.3,0.01,0,17039,0.995128822113974,0.845296085451024,0.000845404587347259
"12",12,30000,0.3,0.01,0,16178,0.99715663246384,0.843614785511188,0.000830765870333305
"13",13,30000,0.3,0.01,0,16655,0.997418192734914,0.854878414890423,0.000841276935129556
"14",14,30000,0.3,0.01,0,15663,0.995594713656388,0.844091170273894,0.000831407864600245
"15",15,30000,0.3,0.01,0,16499,0.995514879689678,0.842657130735196,0.000840656789535361
"16",16,30000,0.3,0.01,0,15418,0.994422104034246,0.832014528473213,0.000835485779402433
"17",17,30000,0.3,0.01,0,16771,0.997197543378451,0.861785224494663,0.000870237187411997
"18",18,30000,0.3,0.01,0,16250,0.994646153846154,0.850461538461538,0.00086533076755083
"19",19,30000,0.3,0.01,0,17698,0.99350209063171,0.83523561984405,0.000830221856605964
"20",20,30000,0.3,0.01,0,16629,0.995249263335137,0.830537013650851,0.000824393295880062
"21",21,30000,0.3,0.01,0,17572,0.992431140450717,0.838208513544275,0.00084136469324898
"22",22,30000,0.3,0.01,0,17369,0.995336519085727,0.819793885658357,0.000832971347361378
"23",23,30000,0.3,0.01,0,17037,0.995597816516992,0.844456183600399,0.000862623083556185
"24",24,30000,0.3,0.01,0,16196,0.988947888367498,0.839281304025685,0.000838474615646066
"25",25,30000,0.3,0.01,0,16867,0.996502045414122,0.820892867729887,0.000833852930219937
"26",26,30000,0.3,0.01,0,16487,0.995572269060472,0.854309455934979,0.000851645493900451
"27",27,30000,0.3,0.01,0,16946,0.99657736338959,0.842322672016995,0.000845340412679012
"28",28,30000,0.3,0.01,0,17080,0.996838407494145,0.853161592505855,0.000851209438691291
"29",29,30000,0.3,0.01,0,16648,0.996035559827006,0.835595867371456,0.000807687760789289
"30",30,30000,0.3,0.01,0,16714,0.996888835706593,0.825774799569223,0.000818935222459071
"31",31,30000,0.3,0.01,0,16701,0.994431471169391,0.84036884018921,0.000855260430576627
"32",32,30000,0.3,0.01,0,17277,0.993517393065926,0.844822596515599,0.000828351326338054
"33",33,30000,0.3,0.01,0,16787,0.99505569786144,0.85256448442247,0.000847388659880455
"34",34,30000,0.3,0.01,0,16418,0.995614569375076,0.84833719088805,0.000819087081799355
"35",35,30000,0.3,0.01,0,16852,0.997507714217897,0.856990268217422,0.000839222144983192
"36",36,30000,0.3,0.01,0,17978,0.997107575926132,0.839971075759261,0.000847249996939201
"37",37,30000,0.3,0.01,0,17755,0.994480428048437,0.830301323570825,0.000818266042352682
"38",38,30000,0.3,0.01,0,16254,0.996247077642426,0.856343054017473,0.000853996532138577
"39",39,30000,0.3,0.01,0,16244,0.997537552327013,0.835754740211771,0.000845684333667331
"40",40,30000,0.3,0.01,0,16666,0.992859714388576,0.841533661346454,0.000858340154137902
"41",41,30000,0.3,0.01,0,16921,0.994326576443473,0.840553158796761,0.000866654090790904
"42",42,30000,0.3,0.01,0,16665,0.996279627962796,0.842184218421842,0.000853745770315019
"43",43,30000,0.3,0.01,0,17841,0.995403845075949,0.843338377893616,0.000844049186556064
"44",44,30000,0.3,0.01,0,16947,0.994925355520151,0.851419130229539,0.000851052285318766
"45",45,30000,0.3,0.01,0,17112,0.993688639551192,0.835320243104254,0.000850852048659515
"46",46,30000,0.3,0.01,0,16682,0.996403308955761,0.840067138232826,0.000837462096388691
"47",47,30000,0.3,0.01,0,16859,0.997449433536983,0.847618482709532,0.000842599736523069
"48",48,30000,0.3,0.01,0,16790,0.992078618225134,0.835259082787373,0.000826931370505442
"49",49,30000,0.3,0.01,0,15808,0.990321356275304,0.808008603238866,0.000797948817085752
"50",50,30000,0.3,0.01,0,16343,0.995533255828183,0.838524138775011,0.00085197585003149
"51",51,30000,0.3,0.01,0,16021,0.993071593533487,0.823481680294613,0.000816867040426998
"52",52,30000,0.3,0.01,0,16717,0.99473589758928,0.840521624693426,0.000853330885846958
"53",53,30000,0.3,0.01,0,16948,0.99250649044135,0.839214066556526,0.000847130298278037
"54",54,30000,0.3,0.01,0,18085,0.990710533591374,0.840088471108654,0.000856281418436106
"55",55,30000,0.3,0.01,0,16721,0.99431852161952,0.836493032713355,0.000839400833515281
"56",56,30000,0.3,0.01,0,16378,0.994565881059958,0.844730736353645,0.00086001246570753
"57",57,30000,0.3,0.01,0,16488,0.996360989810771,0.84946627850558,0.000855968245484522
"58",58,30000,0.3,0.01,0,16709,0.996648512777545,0.848524747142259,0.000879380853235374
"59",59,30000,0.3,0.01,0,18188,0.9957664394106,0.850670771937541,0.000842321192754158
"60",60,30000,0.3,0.01,0,15659,0.996232198735551,0.834344466441024,0.000840731707410086
"61",61,30000,0.3,0.01,0,16920,0.995567375886525,0.822695035460993,0.000845495658491327
"62",62,30000,0.3,0.01,0,17115,0.991118901548349,0.82646801051709,0.000819897340166571
"63",63,30000,0.3,0.01,0,16144,0.995416253716551,0.827118434093162,0.000832635667971429
"64",64,30000,0.3,0.01,0,15870,0.992375551354757,0.815626969124134,0.000813452093403763
"65",65,30000,0.3,0.01,0,16351,0.996024707968932,0.840437893706807,0.000835094344676441
"66",66,30000,0.3,0.01,0,16983,0.995995995995996,0.843726079020197,0.000808791171708724
"67",67,30000,0.3,0.01,0,16474,0.995568775039456,0.82888187446886,0.000842255112641896
"68",68,30000,0.3,0.01,0,15888,0.996097683786506,0.836039778449144,0.000837848260527724
"69",69,30000,0.3,0.01,0,16683,0.994005874243242,0.849727267278067,0.000839228825398287
"70",70,30000,0.3,0.01,0,17047,0.997418900686338,0.846248606792984,0.000848490523889222
"71",71,30000,0.3,0.01,0,17807,0.997809850058966,0.84668950412759,0.000844264071489553
"72",72,30000,0.3,0.01,0,16594,0.998131854887309,0.84590815957575,0.000849228890777132
"73",73,30000,0.3,0.01,0,17089,0.994323834045292,0.830592778980631,0.000805563643239625
"74",74,30000,0.3,0.01,0,16615,0.998495335540175,0.846704784832982,0.000851898488553737
"75",75,30000,0.3,0.01,0,16803,0.99202523358924,0.835207998571684,0.000844346855783678
"76",76,30000,0.3,0.01,0,16832,0.99203897338403,0.846661121673004,0.000865392349833357
"77",77,30000,0.3,0.01,0,15654,0.994442315063243,0.837166219496614,0.000837762912381778
"78",78,30000,0.3,0.01,0,17041,0.995188075817147,0.833460477671498,0.00084902273921558
"79",79,30000,0.3,0.01,0,15915,0.993905120955074,0.845428840716305,0.000849663362723602
"80",80,30000,0.3,0.01,0,16804,0.995893834801238,0.835931920971197,0.000833808769095114
"81",81,30000,0.3,0.01,0,16809,0.998274733773574,0.829555595216848,0.000831348790831742
"82",82,30000,0.3,0.01,0,16558,0.995772436284575,0.855477714699843,0.000853201807899969
"83",83,30000,0.3,0.01,0,15739,0.997331469597814,0.837982082724443,0.000841699355242249
"84",84,30000,0.3,0.01,0,17115,0.996961729477067,0.844171779141104,0.000853991726374386
"85",85,30000,0.3,0.01,0,15966,0.996429913566328,0.844419391206313,0.000848463576226426
"86",86,30000,0.3,0.01,0,17240,0.993561484918793,0.842401392111369,0.00084242382570275
"87",87,30000,0.3,0.01,0,15652,0.996549961666241,0.855928954766164,0.000856382359246155
"88",88,30000,0.3,0.01,0,17262,0.996234503533774,0.813694820994091,0.000808728149566517
"89",89,30000,0.3,0.01,0,17723,0.993059865711223,0.83919201038199,0.000836029602523261
"90",90,30000,0.3,0.01,0,17008,0.996295860771402,0.844426152398871,0.000859171905364623
"91",91,30000,0.3,0.01,0,18138,0.997960083801963,0.848164075421766,0.000839257214035224
"92",92,30000,0.3,0.01,0,16576,0.992277992277992,0.840009652509653,0.000855726763315912
"93",93,30000,0.3,0.01,0,16279,0.997849990785675,0.854413661772836,0.000856292669470214
"94",94,30000,0.3,0.01,0,16885,0.995439739413681,0.850518211430264,0.000860038018691988
"95",95,30000,0.3,0.01,0,16265,0.995696280356594,0.84543498309253,0.000851134637042381
"96",96,30000,0.3,0.01,0,15465,0.995344325897187,0.840672486259295,0.000843804382205585
"97",97,30000,0.3,0.01,0,17279,0.996411829388275,0.844435441865849,0.000841318471031112
"98",98,30000,0.3,0.01,0,15734,0.995360366086183,0.832718952586755,0.000833195656616884
"99",99,30000,0.3,0.01,0,16828,0.997266460660803,0.833551224150226,0.000838510199525889
"100",100,30000,0.3,0.01,0,16778,0.995231851233758,0.843366313028966,0.000874465845655942
"101",1,3e+05,0.3,0.01,0,115900,0.779577221742882,0.220672993960311,2.54878863505582e-05
"102",2,3e+05,0.3,0.01,0,112631,0.773641359838765,0.227592758654367,2.60786533656597e-05
"103",3,3e+05,0.3,0.01,0,113970,0.764797753794858,0.217004474861806,2.54548585039389e-05
"104",4,3e+05,0.3,0.01,0,114390,0.768782236209459,0.216347582830667,2.50566014843802e-05
"105",5,3e+05,0.3,0.01,0,114534,0.763039796043096,0.221942829203555,2.6027126753854e-05
"106",6,3e+05,0.3,0.01,0,111334,0.766360680474967,0.21604361650529,2.55026180513181e-05
"107",7,3e+05,0.3,0.01,0,114724,0.773961856281162,0.227912206687354,2.61745481432134e-05
"108",8,3e+05,0.3,0.01,0,115903,0.767469349369732,0.223618025417806,2.64986767831706e-05
"109",9,3e+05,0.3,0.01,0,117130,0.77369589345172,0.229539827542047,2.70078428290792e-05
"110",10,3e+05,0.3,0.01,0,114745,0.771510741208767,0.222048891019217,2.58287811083007e-05
