"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.999551335226196,-0.0236008443973847,-0.140899476701314,0.00662692671074751,-0.00633770222887479,-0.99234785158579,0.000872375617078001,0.00133142560078699,0.00480596277125109,0.00359739144473654,0.00373182295714718,0.00282560967101529,"EB"
"101",3e+05,0.3,0.01,-1,0.723646306147909,-0.000794237829307763,-0.0151671366526438,0.000258713572700375,-0.000378489031170224,-0.696363184707805,0.0145969517804604,5.38443489404476e-05,0.000807471721599938,0.0010216839728445,0.000948443783374727,0.0178314861908094,"EB"
"201",30000,0.8,0.01,-1,0.735910632575962,-0.00862551035735459,-0.0515881826436119,0.00151025358225384,-0.001274270357943,-0.72058729197742,0.0119515746076457,0.00053121880303113,0.00245867037434714,0.00288379023242855,0.00323320018406734,0.0156998565899681,"EB"
"301",3e+05,0.8,0.01,-1,0.535606487483953,-9.92807180199618e-05,-0.00274797722069105,-0.000246099106687111,0.000381578867312238,-0.262528425567505,0.0147641950318369,1.09251504115325e-05,0.000279341260678124,0.000316827454508262,0.000340249993961492,0.0217934506742283,"EB"
"401",30000,0.3,0.001,-1,0.915203728475466,-0.0195843818348626,-0.103931000796096,0.00395783132413675,-0.0048141793592873,-0.915702065071137,0.011526634984539,0.00124499659693083,0.00542722012387866,0.00554149471004086,0.00643479023136331,0.0153557203259052,"EB"
"501",3e+05,0.3,0.001,-1,0.671943156569253,-0.000963872910327216,-0.0181914835785334,0.000877408072015352,-0.000824590832467236,-0.760665799538886,0.0212405819653381,6.78361874939105e-05,0.0010022118131277,0.00095369844829142,0.001011828743385,0.0202769445636625,"EB"
"601",30000,0.8,0.001,-1,0.679408549174224,-0.00965031054604465,-0.0565073688185031,0.00344021358032126,-0.00151683094479572,-0.745360511205306,0.0216345678345825,0.00082055778250541,0.00485488348674451,0.00307860508214956,0.00345522215282221,0.0382491439918577,"EB"
"701",3e+05,0.8,0.001,-1,0.574109614421055,-0.000767888209573084,-0.015909241287276,0.00259437537677469,-0.00267602708542726,-0.745163605087256,0.0156528524845234,5.73080187127278e-05,0.00100766597421062,0.00132511708361255,0.00113592765321698,0.0231373675261791,"EB"
"801",30000,0.3,0.01,0,0.998214508458213,-0.023416236552879,-0.140408456317567,0.00709760940704058,-0.00629474245642283,-0.992336101570619,0.00183494396226515,0.00117097984631355,0.00436103423955617,0.00417446766524092,0.00390633958176262,0.00335182085081652,"EB"
"901",3e+05,0.3,0.01,0,0.710699892315716,-0.000785773709585058,-0.0162413680082258,0.00156004962748513,-0.00160307934468208,-0.75273743107656,0.0117099872434332,5.07002910618802e-05,0.000673110351675345,0.000782324958189707,0.000870728318236189,0.0105766252620788,"EB"
