"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"8011",30000,0.3,0.01,0,1,-0.039689659961412,-0.118992992369685,0.0711899312160923,-0.0267159260194883,-0.936397105902805,0,0.0743913227412339,0.0791861684180588,0.112313684839887,0.0305068180543218,0.0835586637139034,"FIQT"
"9011",3e+05,0.3,0.01,0,0.640559466580245,-0.000120273582739011,-0.00474310497759311,-0.00571723435592884,0.00548706988336353,-0.522844545836953,0.0471589774261109,3.88118808695005e-05,0.00136675112848122,0.00129279635486284,0.00157332787056009,0.101629493857912,"FIQT"
"10011",30000,0.8,0.01,0,0.65039460219905,-0.00134582556341198,-0.0164776669927228,-0.0189382162082563,0.0163064681278869,-0.548993270780393,0.0514207222030846,0.000439823077545149,0.00472715076380502,0.0046083187888876,0.00541742943792769,0.122469621439591,"FIQT"
"11011",3e+05,0.8,0.01,0,0.435096445436663,2.50013524356267e-05,0.00109410058294927,-0.00594319130355216,0.00594489537918455,0.21200550443055,0.00932399417232879,4.30690456862494e-06,0.000189788670125963,0.000272749331263778,0.000299058135258239,0.0408396703754187,"FIQT"
"12011",30000,0.3,0.001,0,0.49893512043512,-0.000293170598657452,-0.0027986188868368,-0.0336826973919496,0.0321645512787845,0.148218989805053,0.185288934108533,0.00146654491675686,0.0153562419267417,0.0145369316376682,0.0190014833140925,1.06760969569465,"FIQT"
"13011",3e+05,0.3,0.001,0,0.372698094192678,8.18935597505928e-05,0.00327655949708014,-0.00912308737890226,0.00938125232206056,0.711131342517676,0.0309399115578883,2.05783019510451e-05,0.000804283403021704,0.000970321681676371,0.000847008410745263,0.221958119399462,"FIQT"
"14011",30000,0.8,0.001,0,0.365006312351504,0.000882974452308154,0.0111639401833787,-0.0291531790280515,0.0312460040481717,0.785186802008775,0.0274796703547738,0.000201759215264122,0.00258203468647191,0.00256419786107087,0.00331137138741411,0.244298534784835,"FIQT"
"15011",3e+05,0.8,0.001,0,0.381374490326066,6.92379942699489e-05,0.00258706107263405,-0.00628409988560271,0.00693210165468456,0.48039067181236,0.0196737234754895,1.67079669099889e-05,0.000588402658832264,0.000687189899051304,0.000757724592612442,0.128053751898727,"FIQT"
"16011",30000,0.3,0.01,1,1,-0.0219496954228685,-0.0983801535747907,0.0242849553608088,-0.0613164245336509,-0.864421018638692,0,0.00812837224187679,0.0189057281223773,0.0633818789065581,0.0189217712221891,0.0505367749267973,"FIQT"
"17011",3e+05,0.3,0.01,1,0.590186772152874,-6.88783099385685e-05,-0.00289444525662312,-0.00604926818343797,0.00617441596352389,-0.37704712536587,0.0508807271941586,2.63510906192676e-05,0.00110652673447071,0.00111228005259853,0.00130278729281795,0.114350357387915,"FIQT"
"18011",30000,0.8,0.01,1,0.599092120224823,-0.00078610099812666,-0.0101876024808923,-0.0198480532851723,0.0186315746023972,-0.403602127502155,0.0483011076179568,0.000283199930886899,0.00355271036954684,0.00392485409450915,0.00368250892245648,0.106754454113791,"FIQT"
"19011",3e+05,0.8,0.01,1,0.431635177303706,2.61489854105074e-05,0.00123461907339369,-0.0056227113262888,0.0056826856796189,0.263496585032946,0.00901921813107589,3.17639766296275e-06,0.000150536155778301,0.000236201692091029,0.000255309664675541,0.0365435741060937,"FIQT"
"20011",30000,0.3,0.001,1,0.508573089234467,-0.000180831456365173,-0.000443011009444163,-0.033948416372969,0.0305254710267752,0.289170274589314,0.165580866665855,0.00191101303572452,0.0158971222688323,0.0132561649369918,0.0152959181622437,1.09648095096613,"FIQT"
"21011",3e+05,0.3,0.001,1,0.369204615121342,7.7631064108126e-05,0.00330530974875153,-0.00863154444312056,0.00892258178184554,0.774479311633927,0.0303225565606285,1.49829206481705e-05,0.000610572515384939,0.000885114853993836,0.000859178093926456,0.188503119219148,"FIQT"
