"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"55",55,30000,0.3,0.01,-1,1,-0.000710968464871155,-0.0252031451700035,-0.0015031841839539,100,-0.996831921063713,"EB"
"56",56,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"57",57,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"58",58,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"59",59,30000,0.3,0.01,-1,1,-0.000347561446464495,-0.0123565534360951,-0.00788557402568911,100,-0.848241049111371,"EB"
"60",60,30000,0.3,0.01,-1,1,-0.000229589962882659,-0.00764723913293671,-0.0111876779025629,100,-0.647180576784623,"EB"
"61",61,30000,0.3,0.01,-1,1,-0.0009893097795292,-0.0277499443282483,0.00395046503003489,100,-0.984470169968501,"EB"
"62",62,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.000402044011791364,-0.0174484055686529,-0.00279673562490165,100,-0.980916360273393,"EB"
"64",64,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"65",65,30000,0.3,0.01,-1,1,-0.00105323056309455,-0.0296625860594991,0.00292222584722751,100,-0.991957387977022,"EB"
"66",66,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"67",67,30000,0.3,0.01,-1,1,-0.000687439826193209,-0.0259767557010035,0.000243448211723833,100,-0.999913793294601,"EB"
"68",68,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"69",69,30000,0.3,0.01,-1,1,-0.000708762678614244,-0.0245704464411195,-0.00213784964286415,100,-0.993592893382494,"EB"
"70",70,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"71",71,30000,0.3,0.01,-1,1,-0.00137972842908501,-0.0294363017597565,0.00871768084153883,100,-0.947793788816593,"EB"
"72",72,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"73",73,30000,0.3,0.01,-1,1,-0.00281455420466198,-0.0301014393073519,0.0317004369259789,100,-0.736896166265843,"EB"
"74",74,30000,0.3,0.01,-1,1,-0.000837546925083063,-0.0198260725612718,0.0112093247541745,100,-0.869549939734978,"EB"
"75",75,30000,0.3,0.01,-1,1,-0.000668865210795656,-0.0249701677649273,0.000908202400040543,100,-0.998768338265133,"EB"
"76",76,30000,0.3,0.01,-1,1,-0.00132709790231639,-0.0173676341696402,0.0236142405745517,100,-0.603593689871132,"EB"
"77",77,30000,0.3,0.01,-1,1,-0.00102059213507624,-0.0270525789456973,0.00371845150451515,100,-0.972850559297671,"EB"
"78",78,30000,0.3,0.01,-1,1,-0.00126816315762236,-0.0330781953648762,0.00100721000151462,100,-0.994575020753402,"EB"
"79",79,30000,0.3,0.01,-1,1,-0.00091438668493888,-0.0244288947359201,0.00170858739646731,100,-0.955824176737255,"EB"
"80",80,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"81",81,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"82",82,30000,0.3,0.01,-1,1,-0.00118682028049311,-0.0293473376983976,-0.004321825609654,100,-0.974733236690918,"EB"
"83",83,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"84",84,30000,0.3,0.01,-1,1,-0.00319706457144162,-0.0469673899368838,100,0.0105512447603564,-0.96634959793527,"EB"
"85",85,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"86",86,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"87",87,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"88",88,30000,0.3,0.01,-1,1,-0.000781811691293992,-0.0274860597366873,-0.000478937535926736,100,-0.999706689109565,"EB"
"89",89,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"90",90,30000,0.3,0.01,-1,1,-0.0016962725172496,-0.0268678796449065,0.018132982087054,100,-0.837633359623827,"EB"
"91",91,30000,0.3,0.01,-1,1,-0.000578774104792226,-0.0171793400245034,-0.00639878121998926,100,-0.89465326365095,"EB"
"92",92,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"93",93,30000,0.3,0.01,-1,1,-0.00120027421604217,-0.0312377927533419,-0.00359299585783653,100,-0.989358892808288,"EB"
"94",94,30000,0.3,0.01,-1,1,-0.000748770101391038,-0.0268831253196619,0.000484833406243248,100,-0.999686165806527,"EB"
"95",95,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"96",96,30000,0.3,0.01,-1,1,-0.00175356024274215,-0.0317220817342453,0.0117783848400672,100,-0.926686551202112,"EB"
"97",97,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"98",98,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"99",99,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"100",100,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"101",1,3e+05,0.3,0.01,-1,0.644815256257449,-6.04687913360765e-06,-0.000854448022255941,0.000106526923635029,-0.00183543656184794,-0.384496739273015,"EB"
"102",2,3e+05,0.3,0.01,-1,0.646916565900846,-5.55025029516709e-06,-0.000793666759881565,3.31831705519077e-05,-0.000328098429286625,-0.366142292363665,"EB"
"103",3,3e+05,0.3,0.01,-1,0.664684898929845,-7.57489287093368e-06,-0.0010464155198172,6.34399728202071e-05,-0.00203944802865909,-0.44138627774319,"EB"
"104",4,3e+05,0.3,0.01,-1,0.64519906323185,-6.0626570587299e-06,-0.000840691533037435,0.000256554374875684,0.000473137706952332,-0.374018865622566,"EB"
"105",5,3e+05,0.3,0.01,-1,0.66548463356974,-5.78083833811712e-06,-0.000815026097276753,0.000143871022287222,0.000781086473968158,-0.369771754360903,"EB"
"106",6,3e+05,0.3,0.01,-1,0.643610785463071,-6.84163389511849e-06,-0.000940490204370921,6.30600713541915e-05,-0.00142791726129459,-0.405509899717649,"EB"
"107",7,3e+05,0.3,0.01,-1,0.651162790697674,-5.77672548239407e-06,-0.000800784570011178,0.00023781061917505,-0.000186948158984348,-0.359729624302133,"EB"
"108",8,3e+05,0.3,0.01,-1,0.63344407530454,-7.11437475599406e-06,-0.000991139611653031,0.000233922009755595,-0.00167954490870295,-0.42642908193608,"EB"
"109",9,3e+05,0.3,0.01,-1,0.654524089306698,-5.84171791999687e-06,-0.000819980419360113,7.90997964391958e-06,-0.000618585470561293,-0.370254705889494,"EB"
