"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,0,0.998452012383901,-0.000857638748013671,-0.0139153111865989,0.0223624856527617,-0.0199592433844949,-0.368383064256869,"EB"
"2",2,30000,0.3,0.01,0,0.96455223880597,-0.000857256320576646,-0.0142094318510954,0.0221433842359469,-0.0151695243893721,-0.381258995354705,"EB"
"3",3,30000,0.3,0.01,0,0.938069216757741,-0.000830487113197952,-0.0138729639382939,0.0190172434283913,-0.0168251577173438,-0.376283954328459,"EB"
"4",4,30000,0.3,0.01,0,1,-0.000878062484961252,-0.0140696891551773,0.0229113997228638,-0.019818939413428,-0.367941866346277,"EB"
"5",5,30000,0.3,0.01,0,1,-0.000885607022942032,-0.0136750427240973,0.0243965951267392,-0.0198891580055501,-0.348693613000774,"EB"
"6",6,30000,0.3,0.01,0,1,-0.000886740808043146,-0.0139379007886653,0.0249281070132108,-0.0209452428719063,-0.359415394184073,"EB"
"7",7,30000,0.3,0.01,0,1,-0.000838079210259645,-0.0133382413698916,0.0217325569142864,-0.0213935701951181,-0.350218115884141,"EB"
"8",8,30000,0.3,0.01,0,1,-0.000943167665161169,-0.014647098427845,0.0262687404315663,-0.0181513550395481,-0.3706254411361,"EB"
"9",9,30000,0.3,0.01,0,0.984202211690363,-0.000786837820023879,-0.0127814038280152,0.0185478833802768,-0.023378469404381,-0.34385165672615,"EB"
"10",10,30000,0.3,0.01,0,0.972027972027972,-0.000707871190597393,-0.0122452508470274,0.0128098602898737,-0.0205845142873453,-0.349599286491948,"EB"
"11",11,30000,0.3,0.01,0,0.962962962962963,-0.000854777601415458,-0.0160403063366027,0.01338823522862,-0.0157741558924291,-0.46272564150551,"EB"
"12",12,30000,0.3,0.01,0,1,-0.000915857558162421,-0.0144730184849031,0.0198872270978449,-0.0230080167799853,-0.372280205300642,"EB"
"13",13,30000,0.3,0.01,0,1,-0.000844166565038147,-0.0139393676120109,0.0165169791290422,-0.023408627311028,-0.374214941608723,"EB"
"14",14,30000,0.3,0.01,0,0.991150442477876,-0.000870732465915361,-0.0134676539304384,0.0207740003896754,-0.0240334283605738,-0.344788422075968,"EB"
"15",15,30000,0.3,0.01,0,1,-0.000988521751282216,-0.0144235371017541,0.0189807197555554,-0.0277410438349121,-0.347727472599431,"EB"
"16",16,30000,0.3,0.01,0,1,-0.000890439224488968,-0.0150944073827593,0.0168017185180316,-0.0228174387149464,-0.407484818022442,"EB"
"17",17,30000,0.3,0.01,0,1,-0.000872784689567892,-0.014992386562212,0.0199822637533377,-0.0180064277258747,-0.409585632624519,"EB"
"18",18,30000,0.3,0.01,0,0.978723404255319,-0.00071442699393245,-0.012179650683499,0.0182858006156434,-0.0192009916901684,-0.34387783223089,"EB"
"19",19,30000,0.3,0.01,0,0.978599221789883,-0.000869336655691608,-0.0143404961424053,0.0163052172196408,-0.0225628236753172,-0.382609144249058,"EB"
"20",20,30000,0.3,0.01,0,1,-0.00100551636531622,-0.0160914389859802,0.0212306558463658,-0.0179839284953235,-0.409560283362345,"EB"
"21",21,30000,0.3,0.01,0,0.975257731958763,-0.000927697337466532,-0.014680212885583,0.0212381720554114,-0.019979775742628,-0.377025055256447,"EB"
"22",22,30000,0.3,0.01,0,1,-0.000954357845216281,-0.0141273554244939,0.0254564973172134,-0.0237144969442688,-0.345914290925179,"EB"
"23",23,30000,0.3,0.01,0,0.97071129707113,-0.000889122355372471,-0.0143504576723246,0.0176589192790233,-0.0244541321455101,-0.376118227782504,"EB"
"24",24,30000,0.3,0.01,0,1,-0.000819706095957632,-0.0129091416577177,0.0222751827968587,-0.0229797047662184,-0.337903573054126,"EB"
"25",25,30000,0.3,0.01,0,0.985401459854015,-0.000767350801724605,-0.0116445958296627,0.0255417434591976,-0.0185414091606665,-0.300342212557949,"EB"
"26",26,30000,0.3,0.01,0,0.992990654205608,-0.000968419154939658,-0.015734039114838,0.0169840078144563,-0.0224134511199024,-0.407178015404745,"EB"
"27",27,30000,0.3,0.01,0,0.991452991452991,-0.000692671543663319,-0.0117266970591885,0.0191616476557359,-0.0231186097199362,-0.331287840662261,"EB"
"28",28,30000,0.3,0.01,0,0.962151394422311,-0.000817618811980976,-0.0131503502558341,0.0170424453309275,-0.0239499403964189,-0.349162829538678,"EB"
"29",29,30000,0.3,0.01,0,0.995664739884393,-0.000769069312972237,-0.0118990589373286,0.0232019337721435,-0.0238487117305287,-0.310957070699892,"EB"
"30",30,30000,0.3,0.01,0,0.964391691394659,-0.00067647249112615,-0.0118835371097333,0.0203476770219454,-0.0162780129217528,-0.34540789533984,"EB"
"31",31,30000,0.3,0.01,0,1,-0.0010600553804045,-0.017512775482708,0.0172477408779694,-0.0198605557316226,-0.448797076982209,"EB"
"32",32,30000,0.3,0.01,0,0.990476190476191,-0.000881035163595383,-0.0146503630489349,0.017616903396446,-0.0207119300139836,-0.391784880985896,"EB"
"33",33,30000,0.3,0.01,0,1,-0.000969554799754864,-0.0164407610255472,0.0194487026146428,-0.0171100852872437,-0.436017061560315,"EB"
"34",34,30000,0.3,0.01,0,0.985272459499264,-0.00065100624406448,-0.0109856094016095,0.0192957681027086,-0.0244060471690992,-0.312777504266276,"EB"
"35",35,30000,0.3,0.01,0,0.950320512820513,-0.000684011206053864,-0.0122409174086666,0.01816183038067,-0.0141660979091654,-0.359392772510997,"EB"
"36",36,30000,0.3,0.01,0,1,-0.000882025739496152,-0.0140548676832403,0.0212720205932084,-0.022887385359032,-0.365960914521844,"EB"
"37",37,30000,0.3,0.01,0,1,-0.000932897239031046,-0.0151238468143702,0.0213232075910754,-0.0199821959666147,-0.393810662463634,"EB"
"38",38,30000,0.3,0.01,0,0.993464052287582,-0.00101318618428524,-0.0159678496322797,0.0196180961374023,-0.0194472308931527,-0.40211415331036,"EB"
"39",39,30000,0.3,0.01,0,0.970940170940171,-0.000813519274296111,-0.0142983243761551,0.0162153559511191,-0.0192115421820006,-0.401669629421235,"EB"
"40",40,30000,0.3,0.01,0,0.941520467836257,-0.000914741950172706,-0.0130810818773477,0.0205729461337604,-0.0250447810695033,-0.315169967544061,"EB"
"41",41,30000,0.3,0.01,0,0.991582491582492,-0.000845928410866957,-0.0132154831264172,0.0235729301694506,-0.0199111888589777,-0.342255263317538,"EB"
"42",42,30000,0.3,0.01,0,0.977578475336323,-0.000829594268150059,-0.0135625477547118,0.0222659229717139,-0.0182278498897056,-0.362971864054273,"EB"
"43",43,30000,0.3,0.01,0,1,-0.000775120299288758,-0.0131389677145684,0.0227417302321295,-0.017029779863706,-0.364298533803538,"EB"
"44",44,30000,0.3,0.01,0,0.961968680089485,-0.0010170080913797,-0.0158050520260074,0.0138558811415551,-0.023520836732214,-0.394376601170331,"EB"
"45",45,30000,0.3,0.01,0,0.992156862745098,-0.000748472828365403,-0.0130795734689503,0.0192221981469525,-0.0166416751059732,-0.372085478984395,"EB"
"46",46,30000,0.3,0.01,0,0.99800796812749,-0.000967612113977274,-0.0152466519324473,0.0216916997138749,-0.0219584769375979,-0.387410582912872,"EB"
"47",47,30000,0.3,0.01,0,1,-0.00104975970386066,-0.016734490700542,0.0202038715884354,-0.0184520026915859,-0.421179984815081,"EB"
"48",48,30000,0.3,0.01,0,0.996316758747698,-0.000869116135102197,-0.0149037649112018,0.0206719331187901,-0.0161583275178932,-0.407101179728283,"EB"
"49",49,30000,0.3,0.01,0,0.956448911222781,-0.000807306974743335,-0.0136656204265474,0.0217719133167364,-0.016436042123436,-0.375731653474092,"EB"
"50",50,30000,0.3,0.01,0,1,-0.000894283772903603,-0.0143921662356474,0.0241520371194719,-0.0197301079815166,-0.376123156206859,"EB"
"51",51,30000,0.3,0.01,0,0.964401294498382,-0.00092304854231415,-0.0142081261895662,0.0216292702973606,-0.0213230907063338,-0.358907227007441,"EB"
