"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.960903076654905,-0.00183800450816584,-0.0358692941255326,0.00156263538483218,-0.00204507941933746,-0.968796790814347,0.00847439543511447,0.000110146961770622,0.00131982071415903,0.0012405191346542,0.00122000824799039,0.00439693318606358,"EB"
"101",3e+05,0.3,0.01,-1,0.605813814729545,-2.28170460106979e-05,-0.00194454197878994,0.00011444313192721,-7.39694290203669e-05,-0.487586225882885,0.00937519756112992,1.69190048324797e-06,0.000123885704616211,9.94421420545949e-05,0.000302661069000473,0.0209170247291811,"EB"
"201",30000,0.8,0.01,-1,0.793462010979497,-0.000973985347992993,-0.0202467316163072,0.00125797110123913,-0.00172558696642947,-0.833737911502304,0.0141287948931499,5.71294467876749e-05,0.000844759905070471,0.000762071388018231,0.00149538393434305,0.0124952574526656,"EB"
"301",3e+05,0.8,0.01,-1,0.546560096449642,-1.04090943747122e-05,-0.000984444982933311,2.80415239295987e-05,5.63773854214367e-05,-0.311356763847479,0.0149651818146621,1.15678096261271e-06,0.000100239617857044,6.91272871603847e-05,0.00018374092267846,0.0249103122759312,"EB"
"401",30000,0.3,0.001,-1,0.785472006880428,-0.00122658973964548,-0.0229074846305973,0.000990144733876601,-0.000869384733804298,-0.838823137787695,0.0186259268596416,8.01768583879721e-05,0.00123407896529531,0.00110246503429433,0.00154716259243257,0.0185605114856102,"EB"
"501",3e+05,0.3,0.001,-1,0.604590528891492,-7.54432522189297e-05,-0.00513924154741701,0.000198678516183089,-0.000454851569632616,-0.7674710176472,0.0192131490585717,5.73432689972594e-06,0.000335450709113868,0.000222436247534611,0.000333636224456393,0.0256683207066222,"EB"
"601",30000,0.8,0.001,-1,0.687339971449287,-0.00092722054706576,-0.0183955696091322,0.000507563221334244,-0.00109362314220609,-0.782348272046001,0.0261322125545535,7.101341204099e-05,0.00131084881854104,0.000897518467510299,0.00138256923058261,0.028807608980837,"EB"
"701",3e+05,0.8,0.001,-1,0.57026097544594,-7.05583774261745e-05,-0.00497699003850156,0.000377103145209287,-0.000766398956906279,-0.768196179269714,0.0186868567952287,5.9549075238463e-06,0.000373270509540126,0.00022281989336775,0.000398906786530791,0.0280893489144022,"EB"
"801",30000,0.3,0.01,0,0.965002876543088,-0.00181851402191777,-0.0360259972132362,0.00173793735216819,-0.00216863018124686,-0.972003754472834,0.00749587696030211,0.000104861747974628,0.00116744683532778,0.00131503753496813,0.0012941783340919,0.00497070853864811,"EB"
"901",3e+05,0.3,0.01,0,0.607509337253044,-2.50359881745725e-05,-0.00230007372002167,0.000226051981875746,-0.000638826806053904,-0.575861841864206,0.00932291986291442,1.7939113646369e-06,0.000133881439260831,8.75435837011532e-05,0.000390244438740392,0.019188633986615,"EB"
