"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1001",30000,0.8,0.01,0,0.744829887894376,-0.00086774676180405,-0.0181988690752664,-0.79971802916578,0.015435606954325,5.38529134139989e-05,0.000763896707118785,0.0103822767835219,"EB"
"1101",3e+05,0.8,0.01,0,0.545802878615356,-1.2226748895912e-05,-0.00119491113057469,-0.374384066883807,0.0123554670221913,1.06902079766595e-06,8.76898851708207e-05,0.0183694395152384,"EB"
"1201",30000,0.3,0.001,0,0.793163906477382,-0.00129352003978441,-0.0247138533346862,-0.871096005065656,0.0163032038260439,9.04026615241294e-05,0.00129992909130096,0.013915891793228,"EB"
"1301",3e+05,0.3,0.001,0,0.616347003654045,-7.74238812044269e-05,-0.0052170031949895,-0.769223385866798,0.0188192861418872,5.89502067544136e-06,0.000325379433798101,0.0219248395075922,"EB"
"1401",30000,0.8,0.001,0,0.700680873397055,-0.000983257188171606,-0.0198099302378689,-0.815166052162411,0.0186699365932758,6.52810487307512e-05,0.00102946607123499,0.0169522746071643,"EB"
"1501",3e+05,0.8,0.001,0,0.578140944633278,-6.80519503865146e-05,-0.0046651985498393,-0.733910764980216,0.0173381048306163,4.96981054118888e-06,0.000281520759806573,0.0221614498392405,"EB"
"1601",30000,0.3,0.01,1,0.902526554281062,-0.00166788744327785,-0.0323417347626399,-0.946978611223398,0.0122624228918618,8.42226128437581e-05,0.0013268339877997,0.0105569325523428,"EB"
"1701",3e+05,0.3,0.01,1,0.593576648378743,-2.5177495181699e-05,-0.0022163592352946,-0.546319657835843,0.00948388968160548,2.03722240201455e-06,0.000136897593000558,0.0177332903581727,"EB"
"1801",30000,0.8,0.01,1,0.727940442152818,-0.00082519009248614,-0.0175075787746954,-0.789993927004838,0.0117696866222917,5.17023229333014e-05,0.000711386035785283,0.0111375301512491,"EB"
"1901",3e+05,0.8,0.01,1,0.547344059280498,-1.43794038170712e-05,-0.00143798468493075,-0.439581023753097,0.0121904786306352,1.06403902449627e-06,8.53686444322912e-05,0.0157651721749857,"EB"
"2001",30000,0.3,0.001,1,0.799549164116484,-0.00133489730648276,-0.0257509572179241,-0.886663172201501,0.0148621368637769,8.55767953319875e-05,0.00119948825194041,0.0126113153244134,"EB"
"2101",3e+05,0.3,0.001,1,0.629417244138744,-8.33315952882184e-05,-0.0057370237048156,-0.811644327348613,0.0174399661319234,5.41444905294809e-06,0.000278538849144733,0.0149479775539412,"EB"
"2201",30000,0.8,0.001,1,0.708863902863132,-0.00105890255900584,-0.0217258270731123,-0.852823133551612,0.0213609736967662,6.9105218473592e-05,0.00102791547821506,0.0127653082348267,"EB"
