"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,0,555.16,0.998964936365142,0.932591337505921,0.00145959253654535,77.0376688655779,0.00341747424634202,0.0468293406753716,0.00013008052755706
"101",3e+05,0.3,0.01,0,33835.62,0.777076474903544,0.213778070784413,2.46362353235688e-05,903.788164372939,0.0110709275989282,0.0102198349757411,1.01828835303845e-06
"201",30000,0.8,0.01,0,3268.78,0.952259491642045,0.571524315876451,0.00062052062433182,296.099409323997,0.0154635553356831,0.0356042031119757,4.30623094241768e-05
"301",3e+05,0.8,0.01,0,103021.4,0.668421951146626,0.12996482545111,1.87066022521309e-05,1560.17456288284,0.0086890496596088,0.0049541610524952,4.74876089951233e-07
"401",30000,0.3,0.001,0,2953.3,0.833885479844225,0.306377772252916,0.000398357105493091,199.704402767812,0.0358895177661129,0.0377239123290861,4.66411626178418e-05
"501",3e+05,0.3,0.001,0,29983.24,0.608807409209053,0.09976056162404,1.7857028621181e-05,753.341741975061,0.0161161104244968,0.00842398919015792,8.66482248594734e-07
"601",30000,0.8,0.001,0,10445.11,0.709135041074411,0.165507901380362,0.00023126735838418,353.861352035859,0.0236955262777625,0.0163568828722755,1.60883499754754e-05
"701",3e+05,0.8,0.001,0,47188.51,0.565143004117482,0.0805340146593975,1.68082864569065e-05,916.009488890467,0.0147163106377918,0.00633977735167816,6.56027871950493e-07
