"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,0,0.972601826930706,-0.000575963517277482,-0.0127112996104126,0.0130076306639062,-0.0130828956393045,-0.438174221361045,0.00572358937045837,1.24142386980704e-05,0.000239624397191815,0.000614250809553208,0.000781564643998433,0.00890651331770627,"EB"
"101",3e+05,0.3,0.01,0,0.680126868122254,-6.60493113957769e-06,-0.000696964040426429,0.000869468788373629,-0.000879314243515545,-0.137011357915425,0.00744404485989996,3.05880626848098e-07,2.92673527137087e-05,9.96602379513802e-05,0.000102896846001549,0.00506596532636457,"EB"
"201",30000,0.8,0.01,0,0.850750732659652,-0.000272358456592043,-0.00719593446085883,0.00732760080278293,-0.00738922895889901,-0.319509836136544,0.00934545461151779,8.58013827425524e-06,0.000197015722682854,0.000497782677086393,0.000540794622396266,0.00785409683605026,"EB"
"301",3e+05,0.8,0.01,0,0.606475507854692,-2.29488275268325e-06,-0.000265553300844112,0.000455729132722403,-0.000452834420763661,-0.0596215855354177,0.00584369861349526,1.55054398794943e-07,1.73319317597662e-05,7.71176455656746e-05,8.76872069122425e-05,0.00369214770742722,"EB"
"401",30000,0.3,0.001,0,0.791031993717038,-0.000292978003884587,-0.00660464215084571,0.00869080152951825,-0.00876980585108144,-0.259209830960248,0.013049737844263,9.12759243147258e-06,0.000176595964088628,0.000777408497337267,0.000819533969689288,0.00670544574264137,"EB"
"501",3e+05,0.3,0.001,0,0.600145103738315,-5.77160721759317e-06,-0.000538483251638168,0.000859594969371657,-0.000879576430315282,-0.0956723956981239,0.0105501042719443,4.21201564493914e-07,3.54344795722061e-05,0.00018007566745486,0.000169674096598083,0.00552975109105221,"EB"
"601",30000,0.8,0.001,0,0.683012167738112,-0.000133296200117385,-0.00344552144188968,0.00505950413222581,-0.00507714218178017,-0.163556375499588,0.0135101707362911,6.91198758110883e-06,0.00016468828474101,0.000706803611709039,0.000680274565633899,0.00709733358181018,"EB"
"701",3e+05,0.8,0.001,0,0.532216783795899,-4.06187964176116e-06,-0.0003977416794146,0.000607443434663409,-0.000585910535498672,-0.0749693996086137,0.036202152541231,3.33451555350405e-07,3.13615261097745e-05,0.000199507928304094,0.000184039438555449,0.00560460874120762,"EB"
"11",30000,0.3,0.01,0,0.974557655504988,-0.000563330391326929,-0.0123295158177922,0.0135729762763248,-0.0137151016642984,-0.425024475294683,0.00562964995117751,1.26541787361201e-05,0.000280515487945549,0.000704761404824697,0.000762830252496287,0.0106278029752841,"EB_df"
"1011",3e+05,0.3,0.01,0,0.664369619823326,-6.19666710554587e-06,-0.000650715841150675,0.000526302915720387,-0.000530729130804912,-0.127908034542831,0.00973507237325305,3.84982873851224e-07,3.85860229395389e-05,0.00017213796125521,0.000168939042910393,0.00694498044919972,"EB_df"
"2011",30000,0.8,0.01,0,0.855806192527976,-0.000266516212807122,-0.00700653826901425,0.00783508301452189,-0.00790138733652453,-0.311103721653187,0.00929299031964303,8.24047788526312e-06,0.000187663938047436,0.000578893865659496,0.000643952913523805,0.00757079156126826,"EB_df"
"3011",3e+05,0.8,0.01,0,0.573896240423258,-1.73901008896192e-06,-0.000199701868620568,-1.06519777731758e-05,9.15184893682352e-06,-0.0448246638962834,0.0104091598303094,2.24097461587541e-07,2.54801648734096e-05,0.000148458832188776,0.000153458213257877,0.00555666387069384,"EB_df"
"4011",30000,0.3,0.001,0,0.794418564935436,-0.000290477295181414,-0.00653904065559306,0.00882747198536458,-0.00906162779497789,-0.256635259304154,0.0129224040026811,1.04895697961755e-05,0.000224560970985609,0.00107191864502214,0.00110789629620394,0.00864598549804642,"EB_df"
"5011",3e+05,0.3,0.001,0,0.503078001578684,-1.96862737523383e-06,-0.000177804705302234,-6.60573858776261e-05,0.000117440785805148,-0.031521672852515,0.0205458773827276,8.65769550023111e-07,7.80967056394207e-05,0.000403025500137582,0.000370786029162367,0.0136701917054835,"EB_df"
"6011",30000,0.8,0.001,0,0.593917474944231,-0.000123057506175364,-0.00315855435523556,0.00227741123093197,-0.00231143435964918,-0.149863595023056,0.0350854473908261,1.3972402712166e-05,0.00036244014995464,0.00158216923686437,0.00155316651293709,0.0163849705512259,"EB_df"
"7011",3e+05,0.8,0.001,0,0.510696016821246,-6.13311798636406e-07,-5.81803849314568e-05,0.000299456135962202,-0.000258179320578756,-0.0109477725416314,0.0172718370824008,4.48623452064861e-07,4.26679787584036e-05,0.00027092452031561,0.000227135591582904,0.00802513687191419,"EB_df"
"12",30000,0.3,0.01,0,0.972391803027455,-0.000579371802088843,-0.0128161167821222,0.0128804325603306,-0.0129746820207011,-0.441785405267992,0.00570130669676896,1.26064185431846e-05,0.000242699132805237,0.000596096235983348,0.00079028491176586,0.00890578489614369,"EB_scam"
"1012",3e+05,0.3,0.01,0,0.678938903868527,-6.63533128908936e-06,-0.000700425766016018,0.000840681895519049,-0.000849315456733648,-0.137691242402598,0.00739400911256603,3.08994633184108e-07,2.95712584252982e-05,9.70402617965742e-05,0.000104299837019756,0.00511020771815282,"EB_scam"
"2012",30000,0.8,0.01,0,0.851470475593909,-0.000272453535924647,-0.00719896493544884,0.00739337969603076,-0.00741200122179255,-0.319644886066706,0.00930144369230272,8.40725536814533e-06,0.000189880833354663,0.00049808030761266,0.000545407792780496,0.00751897585680617,"EB_scam"
"3012",3e+05,0.8,0.01,0,0.605484864741515,-2.29355933416226e-06,-0.000265394878499808,0.000434064284850182,-0.000428230319937008,-0.0595858826589229,0.00594379947110319,1.554204590693e-07,1.73719667927397e-05,8.05817586480113e-05,9.13717579659792e-05,0.003699816425082,"EB_scam"
"4012",30000,0.3,0.001,0,0.792747487973212,-0.000291352580210335,-0.00656159678589104,0.00885741493220699,-0.00890706059894719,-0.257517423507182,0.012758293476355,9.38505373901311e-06,0.000182614771866845,0.000767436708872808,0.000780791854414876,0.00683771641706961,"EB_scam"
"5012",3e+05,0.3,0.001,0,0.588093750207536,-5.40236733351787e-06,-0.000502422716377528,0.00068050933956258,-0.000679845852116037,-0.0892617076381645,0.0272469278369496,5.31539327880006e-07,4.74480132329354e-05,0.000273737010842337,0.000186504866554639,0.00789399825287409,"EB_scam"
"6012",30000,0.8,0.001,0,0.676736230707169,-0.000135084117947282,-0.00349630345229685,0.00445340745575013,-0.00446643360328731,-0.165959258816043,0.0137650085179489,7.58210764864446e-06,0.000182907740100353,0.000756236549427524,0.000718608097684419,0.00786083045372942,"EB_scam"
"7012",3e+05,0.8,0.001,0,0.559113442689764,-3.31228884835575e-06,-0.000322020033016258,0.000553857466920162,-0.000515073783807038,-0.0607049022296236,0.0258196163776315,3.32114451117462e-07,3.19803997211275e-05,0.000231070523224246,0.000165579384544222,0.00590443973222995,"EB_scam"
"13",30000,0.3,0.01,0,0.972254960959908,-0.000581936236672645,-0.0128954452586099,0.0127897041015784,-0.0128995122687286,-0.444525338833593,0.00581681389081854,1.18922096144886e-05,0.00022099784266361,0.000617564636771973,0.000771262678819266,0.0085053861023966,"EB_gam_po"
"1013",3e+05,0.3,0.01,0,0.679880800673559,-6.48468423093132e-06,-0.000683280169303391,0.000874508698094974,-0.000881925509768259,-0.134319172216325,0.00753468108647011,3.09059479640132e-07,2.95202870641386e-05,0.000106784045885058,0.000108020767418956,0.0050939374071314,"EB_gam_po"
"2013",30000,0.8,0.01,0,0.852449304454982,-0.000271503035711645,-0.00716813642517559,0.0074872273501075,-0.00751980974781726,-0.318279019786832,0.00918027172583728,8.40058013389819e-06,0.000193877236589075,0.000485330090579554,0.00055150502938614,0.00784900517299426,"EB_gam_po"
"3013",3e+05,0.8,0.01,0,0.590809457065527,-1.84064723812278e-06,-0.000211666019942047,0.000142075498049571,-0.000132919555157626,-0.0475145367453677,0.00662743469217539,2.02479103485406e-07,2.29559387012032e-05,9.76265694345009e-05,0.00011105823551564,0.00498526559289813,"EB_gam_po"
"4013",30000,0.3,0.001,0,0.79478032140406,-0.000284254096799899,-0.00637484409616814,0.00922259072177126,-0.00929381682334242,-0.250190648944159,0.0128128474731892,8.60285296147741e-06,0.000160136283679179,0.000758272258398338,0.000801899546186587,0.00603907496938497,"EB_gam_po"
