"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"3012",3e+05,0.8,0.01,0,0.609569077514336,-2.12900533829319e-06,-0.000254195865287522,0.000459276126214341,-0.000453762521756124,-0.0589039201740915,0.00899485238718982,2.19696460468673e-07,2.53673381721544e-05,0.000118505589657806,0.00012133130806376,0.005584041163547,"EB_scam"
"4012",30000,0.3,0.001,0,0.734599884467323,-0.000128418191720362,-0.0035426811282611,0.00463105400590017,-0.00477925915563271,-0.178106794541634,0.0407462972092849,2.23172088793099e-05,0.000553122617834752,0.00167156281105531,0.00194582257800903,0.0249591480442798,"EB_scam"
"5012",3e+05,0.3,0.001,0,0.556951584272331,-5.81456833306465e-07,-6.98337282030536e-05,0.000134516309180646,-0.00014014836316439,-0.0166100307116164,0.0279082445580482,2.87211248991645e-07,3.4250262345761e-05,0.000274058180142512,0.00024508102720042,0.00805979290546783,"EB_scam"
"6012",30000,0.8,0.001,0,0.638771878322558,-3.38887257643734e-05,-0.00116033127929116,0.00231316718340425,-0.00237091722697239,-0.0764034041653551,0.0250811093387145,6.84965718667827e-06,0.000226053072920153,0.00123555794317344,0.00109614575121551,0.0143021465987949,"EB_scam"
"7012",3e+05,0.8,0.001,0,0.524646453335253,9.97946792854399e-08,1.21361653698587e-05,-0.000120220997974581,0.000142202368893287,0.00298128252024219,0.0252090735103061,2.35536933829685e-07,2.87096681953479e-05,0.000219576173929098,0.000192555457681493,0.00701413977304938,"EB_scam"
"13",30000,0.3,0.01,0,0.989600935420274,-0.000851141941620246,-0.0136930218774026,0.0209815564653081,-0.0213519545785986,-0.361404327574799,0.0166372775785302,7.74163162103905e-05,0.00100206859981689,0.00281858759666216,0.00299277787222578,0.0254762078052847,"EB_gam_po"
"1013",3e+05,0.3,0.01,0,0.694123120914221,-6.27201432562967e-06,-0.00067231626790414,0.00105863556706577,-0.00105509610210684,-0.134430054252104,0.0129653938320819,6.05171916784919e-07,5.85362752803687e-05,0.000181394121876938,0.000201329711368995,0.010079132535547,"EB_gam_po"
"2013",30000,0.8,0.01,0,0.865579315921451,-0.000330731469348421,-0.00804496818032839,0.00808158645018763,-0.00807621553724222,-0.327512801092133,0.0260744378759455,3.05762849498719e-05,0.00060494388726076,0.0014395609054798,0.0016022020546357,0.0217410724407957,"EB_gam_po"
"3013",3e+05,0.8,0.01,0,0.60965498829522,-1.69775284292685e-06,-0.000201441000643275,0.000491072459189029,-0.000482902272908148,-0.0466749790970078,0.00991093390760647,2.28463105240039e-07,2.65873465352509e-05,0.000140225316235577,0.000144500899051038,0.00595066420649193,"EB_gam_po"
"4013",30000,0.3,0.001,0,0.721889386642729,-0.000131347994335392,-0.00363261564604347,0.00379092753143433,-0.00392118000846702,-0.182578459279656,0.0404579941786514,2.37245329106728e-05,0.000595859024203524,0.0018161533329176,0.00193442138110189,0.026966872227922,"EB_gam_po"
"5013",3e+05,0.3,0.001,0,0.335734093889755,7.6881410007834e-06,0.000827512336848336,-0.000833902208873426,0.000988626512150092,0.197528610933546,0.0103839451790697,2.62568968794458e-06,0.000259847290023727,0.000489273634969843,0.000539082808369847,0.0626401791610325,"EB_gam_po"
"6013",30000,0.8,0.001,0,0.625215569364761,-1.99802584928956e-05,-0.000677433898630103,0.00281670235467483,-0.00280346628538241,-0.0444088869816002,0.0387312525318473,1.5381141201529e-05,0.000506189199782621,0.00118659972731204,0.00110258319718759,0.0334593539898928,"EB_gam_po"
"7013",3e+05,0.8,0.001,0,0.326516102371102,1.05043100273776e-05,0.00112567913750177,-0.00176242016073335,0.00185180747417609,0.27510410319297,0.0141790302246387,1.51819424031381e-06,0.00014762709332752,0.000602061131856782,0.000617862334502615,0.0371738494153682,"EB_gam_po"
"14",30000,0.3,0.01,0,0.989202036028087,-0.000868574935857203,-0.0140582566603949,0.0205241008125258,-0.020966737040653,-0.371046164472259,0.0171991703259557,8.01448275633783e-05,0.00107764225193352,0.00287602681001307,0.00303193699300373,0.0275959622051104,"EB_gam_nb"
"1014",3e+05,0.3,0.01,0,0.691096396256727,-6.62807041436567e-06,-0.000713704184543589,0.000952453303546222,-0.000941406032171173,-0.142730327466779,0.0128047563212086,5.6534372101407e-07,5.38538719208676e-05,0.000182395535624508,0.000192840785477372,0.0091310502687188,"EB_gam_nb"
"2014",30000,0.8,0.01,0,0.868181641183977,-0.000329277960352831,-0.00800180390519681,0.0083097968742703,-0.00831508215397355,-0.325773284270505,0.0261926311114706,3.03467701331547e-05,0.000605674658894966,0.00146232434657904,0.00167609751255036,0.0220784435853012,"EB_gam_nb"
"3014",3e+05,0.8,0.01,0,0.597516760324571,-2.04115268728361e-06,-0.000243371054898119,0.000213267229114714,-0.000206892615859693,-0.0563850072502198,0.00983960398343344,2.49087391329612e-07,2.88568901041772e-05,0.000131211097160852,0.000137102410487988,0.00636467601452347,"EB_gam_nb"
