"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1501",3e+05,0.8,0.001,0,0.33130796188188,5.13014902814331e-08,7.21214657761503e-06,-6.08502767902814e-05,-4.8838363127061e-05,0.00426436646469549,0.0304406073505408,2.54547186433312e-07,3.51988995230556e-05,0.000175453852765799,0.000283324916219982,0.0197265114746988,"EB"
"1601",30000,0.3,0.01,1,1,-0.00152047664934305,-0.0300133981535309,0.00355683167975132,-0.0227392130109864,-0.952298915849118,0,0.00113758698784401,0.00702899934091109,0.00449137088757115,0.00302949574726445,0.0503439775098732,"EB"
"1701",3e+05,0.3,0.01,1,0.68215263523702,-5.8183234878586e-06,-0.000987551908690817,0.000126799932083644,0.00211371363993119,-0.491083799103858,0.0194207665120503,5.37019835911734e-07,8.65018324956805e-05,0.000151691336482209,0.00327687964787437,0.0345833009862469,"EB"
"1801",30000,0.8,0.01,1,0.992785558610636,-0.000431374014058718,-0.0138505566788078,0.00590800270694521,-0.025576778360735,-0.854250830673651,0.020884771246893,0.000168518466673165,0.00225104704627493,0.00254871179789446,0.0176520579681337,0.054938958140798,"EB"
"1901",3e+05,0.8,0.01,1,0.501727534436671,-1.11313786980794e-06,-0.000185091888243755,0.000131231609382257,-0.00103999163533611,-0.115830566944862,0.0396477466203221,1.15545906633517e-07,1.84872848327709e-05,5.88392048405939e-05,0.000773927833018696,0.0107460984051549,"EB"
"2001",30000,0.3,0.001,1,0.681788694683536,-5.99592853424808e-05,-0.002935741705405,0.00125280553415933,-0.0127720009878718,-0.438840870941687,0.0716019950678143,5.22037277381798e-05,0.00152705234438191,0.00134898939651987,0.0326621429220929,0.116852328631825,"EB"
"2101",3e+05,0.3,0.001,1,0.319214522884726,-1.25832666714647e-07,-1.78594943907832e-05,-8.65474934452782e-05,-0.000522002998621362,-0.00995127386560708,0.0348201149181765,2.27011974987423e-07,3.2678431599794e-05,0.000177765703218043,0.000593224494118782,0.0188126671307918,"EB"
"2201",30000,0.8,0.001,1,0.395868723387764,-5.14159483190272e-06,-0.000261900526922368,0.000128481225043649,0.011942679364879,-0.0502097443055009,0.0569848541704171,6.1558473508194e-06,0.000314057024871538,0.000756778608774329,0.00922701202011904,0.0618268315928793,"EB"
"2301",3e+05,0.8,0.001,1,0.307184332388093,8.99991046812821e-08,1.24403700666718e-05,-0.000145705210123403,-8.01143866126128e-05,0.00711002348115851,0.02932878610444,2.56975560929512e-07,3.5279504917449e-05,0.000149208031681495,0.000396746427165286,0.0196952878959808,"EB"
"11",30000,0.3,0.01,-1,1,-0.00117059584131746,-0.026090743609385,0.00387157587941368,-0.0169040139154676,-0.933803872267495,0,0.000843860724143157,0.00747665747360381,0.00936004576939167,0.0183494970619854,0.0762827734833383,"FIQT"
"1011",3e+05,0.3,0.01,-1,0.516274863437723,-3.01943219208947e-06,-0.000393799341835543,-0.00193210087492412,0.000687132082311157,-0.182450367347579,0.0170680324658869,1.45101281708131e-06,0.00018487842056487,0.000107524968327932,0.000577935280604462,0.0783049421394784,"FIQT"
"2011",30000,0.8,0.01,-1,0.864062129782676,-0.000411437217065945,-0.0135993604197786,-0.00304805247933737,-0.00644735877810838,-0.853978992243337,0.0676338121369898,0.000137009459099788,0.0028970364126883,0.00176794376288045,0.0118100868625041,0.0580005068867926,"FIQT"
"3011",3e+05,0.8,0.01,-1,0.438631548997965,2.88149773911612e-06,0.000370418500727947,-0.00205666951112325,0.00154474009419218,0.211315294879405,0.0092843902744686,6.80991367510034e-07,8.67401430407583e-05,6.82213587327377e-05,0.00023421763352555,0.0544798870477255,"FIQT"
"4011",30000,0.3,0.001,-1,0.425428244448811,5.18703341809872e-05,0.00195425610321678,-0.0105004472995927,0.00746181869270211,0.404619230647839,0.0562020199406267,5.9328498032854e-05,0.00207087771904684,0.00106514607500517,0.00641690526102917,0.412173128367214,"FIQT"
"5011",3e+05,0.3,0.001,-1,0.381169969062915,9.50286294547057e-06,0.00109285490272537,-0.00251613647870601,0.00300682679551508,0.667900241277141,0.0207825504898953,2.05653547793145e-06,0.000219769805509783,0.000193470138968948,0.000398882518785503,0.165043573200709,"FIQT"
"6011",30000,0.8,0.001,-1,0.371174999412969,0.0001057593550388,0.00388638287289439,-0.0101025971452808,0.0099060648712325,0.808973177827393,0.0284214155978833,3.33292203281427e-05,0.00117883150788223,0.000791355164966807,0.00243224795318457,0.308588693705727,"FIQT"
"7011",3e+05,0.8,0.001,-1,0.393691706449785,6.76725047882119e-06,0.00079017317956924,-0.00192227658741963,0.00247080753901802,0.452451561566958,0.0204602581581523,1.47123666936929e-06,0.000156175933092694,0.000181715622413168,0.000346877785743359,0.100530525121445,"FIQT"
"8011",30000,0.3,0.01,0,1,-0.00128863368412978,-0.0268425126698777,0.00394384353672803,-0.0490550973563647,-0.958296329407193,0,0.00169112624207418,0.00823023306122101,0.00821386248840225,NA,0.0507568821489099,"FIQT"
"9011",3e+05,0.3,0.01,0,0.518124873242363,-2.00992495030144e-06,-0.000306768756209001,-0.00169362143634526,-0.000830573990963161,-0.169461556532735,0.0142052513301766,6.96476278182395e-07,0.000103238878754676,8.29931287821921e-05,0.000745081891696801,0.0509535218852903,"FIQT"
"10011",30000,0.8,0.01,0,0.886470946156415,-0.00032969997973836,-0.0122867267474137,-0.00265807229184779,-0.024548066098606,-0.857597564621768,0.0787374525738513,8.651969182069e-05,0.00204753198167099,0.00168655066522022,0.0258427011219376,0.0613356231077092,"FIQT"
"11011",3e+05,0.8,0.01,0,0.426523634768108,2.36528680294979e-06,0.000351674086028075,-0.00189941108764678,0.000520244860845062,0.233572214670618,0.00920267286282538,3.53457665722632e-07,5.3312720501043e-05,5.76954746826525e-05,0.00029415819688392,0.0401296465145826,"FIQT"
"12011",30000,0.3,0.001,0,0.416271573795666,4.43987548059282e-05,0.00189833792076305,-0.00938493531699539,0.00211020181371031,0.416072186187412,0.0504768788514614,2.73461260964736e-05,0.00117177380627048,0.000848550255800969,0.00830001361120354,0.295672360730708,"FIQT"
"13011",3e+05,0.3,0.001,0,0.383376874898624,6.78677323720442e-06,0.000871786770251376,-0.00239858676783358,0.00221460947063014,0.575155001379973,0.0221546189799735,1.29251714720933e-06,0.000162367621601793,0.000162604742311213,0.000394271166843972,0.132889354651883,"FIQT"
